t,rail,mW,zone,C
1780559857.0942178,VDD_IN,5047.488,,
1780559857.0942178,VDD_CPU_GPU_CV,1031.68,,
1780559857.0942178,VDD_SOC,1470.528,,
1780559857.0942178,,,cpu-thermal,49.968
1780559857.0942178,,,gpu-thermal,50.687
1780559857.0942178,,,soc0-thermal,48.718
1780559857.0942178,,,soc1-thermal,48.156
1780559857.0942178,,,soc2-thermal,48.125
1780559857.0942178,,,tj-thermal,50.687
1780559857.2009692,VDD_IN,4999.68,,
1780559857.2009692,VDD_CPU_GPU_CV,1030.016,,
1780559857.2009692,VDD_SOC,1468.16,,
1780559857.2009692,,,cpu-thermal,50.0
1780559857.2009692,,,gpu-thermal,50.468
1780559857.2009692,,,soc0-thermal,48.531
1780559857.2009692,,,soc1-thermal,48.093
1780559857.2009692,,,soc2-thermal,48.125
1780559857.2009692,,,tj-thermal,50.468
1780559857.3071327,VDD_IN,4920.32,,
1780559857.3071327,VDD_CPU_GPU_CV,990.4,,
1780559857.3071327,VDD_SOC,1468.16,,
1780559857.3071327,,,cpu-thermal,50.062
1780559857.3071327,,,gpu-thermal,50.312
1780559857.3071327,,,soc0-thermal,48.531
1780559857.3071327,,,soc1-thermal,48.25
1780559857.3071327,,,soc2-thermal,48.25
1780559857.3071327,,,tj-thermal,50.312
1780559857.413169,VDD_IN,4809.024,,
1780559857.413169,VDD_CPU_GPU_CV,912.64,,
1780559857.413169,VDD_SOC,1468.16,,
1780559857.413169,,,cpu-thermal,49.781
1780559857.413169,,,gpu-thermal,50.187
1780559857.413169,,,soc0-thermal,48.687
1780559857.413169,,,soc1-thermal,48.312
1780559857.413169,,,soc2-thermal,48.156
1780559857.413169,,,tj-thermal,50.187
1780559857.5192037,VDD_IN,4761.6,,
1780559857.5192037,VDD_CPU_GPU_CV,912.64,,
1780559857.5192037,VDD_SOC,1468.16,,
1780559857.5192037,,,cpu-thermal,49.906
1780559857.5192037,,,gpu-thermal,50.187
1780559857.5192037,,,soc0-thermal,48.531
1780559857.5192037,,,soc1-thermal,48.093
1780559857.5192037,,,soc2-thermal,48.156
1780559857.5192037,,,tj-thermal,50.187
1780559857.625302,VDD_IN,4801.28,,
1780559857.625302,VDD_CPU_GPU_CV,911.168,,
1780559857.625302,VDD_SOC,1468.16,,
1780559857.625302,,,cpu-thermal,49.906
1780559857.625302,,,gpu-thermal,50.125
1780559857.625302,,,soc0-thermal,48.562
1780559857.625302,,,soc1-thermal,48.156
1780559857.625302,,,soc2-thermal,48.218
1780559857.625302,,,tj-thermal,50.125
1780559857.7314887,VDD_IN,4801.28,,
1780559857.7314887,VDD_CPU_GPU_CV,952.32,,
