t,rail,mW,zone,C
1780560478.7233028,VDD_IN,5528.32,,
1780560478.7233028,VDD_CPU_GPU_CV,1340.416,,
1780560478.7233028,VDD_SOC,1498.112,,
1780560478.7233028,,,cpu-thermal,50.0
1780560478.7233028,,,gpu-thermal,50.218
1780560478.7233028,,,soc0-thermal,48.156
1780560478.7233028,,,soc1-thermal,47.687
1780560478.7233028,,,soc2-thermal,47.843
1780560478.7233028,,,tj-thermal,50.218
1780560478.829546,VDD_IN,5479.936,,
1780560478.829546,VDD_CPU_GPU_CV,1338.24,,
1780560478.829546,VDD_SOC,1498.112,,
1780560478.829546,,,cpu-thermal,49.875
1780560478.829546,,,gpu-thermal,50.156
1780560478.829546,,,soc0-thermal,48.25
1780560478.829546,,,soc1-thermal,47.781
1780560478.829546,,,soc2-thermal,47.937
1780560478.829546,,,tj-thermal,49.875
1780560478.936403,VDD_IN,5440.512,,
1780560478.936403,VDD_CPU_GPU_CV,1338.24,,
1780560478.936403,VDD_SOC,1495.68,,
1780560478.936403,,,cpu-thermal,50.031
1780560478.936403,,,gpu-thermal,49.937
1780560478.936403,,,soc0-thermal,48.25
1780560478.936403,,,soc1-thermal,47.937
1780560478.936403,,,soc2-thermal,47.843
1780560478.936403,,,tj-thermal,49.781
1780560479.0428557,VDD_IN,5431.68,,
1780560479.0428557,VDD_CPU_GPU_CV,1336.064,,
1780560479.0428557,VDD_SOC,1495.68,,
1780560479.0428557,,,cpu-thermal,49.718
1780560479.0428557,,,gpu-thermal,49.812
1780560479.0428557,,,soc0-thermal,48.218
1780560479.0428557,,,soc1-thermal,47.781
1780560479.0428557,,,soc2-thermal,47.812
1780560479.0428557,,,tj-thermal,50.125
1780560479.14923,VDD_IN,5431.68,,
1780560479.14923,VDD_CPU_GPU_CV,1336.064,,
1780560479.14923,VDD_SOC,1495.68,,
1780560479.14923,,,cpu-thermal,49.812
1780560479.14923,,,gpu-thermal,49.812
1780560479.14923,,,soc0-thermal,48.156
1780560479.14923,,,soc1-thermal,47.781
1780560479.14923,,,soc2-thermal,47.906
1780560479.14923,,,tj-thermal,49.968
1780560479.255856,VDD_IN,5392.32,,
1780560479.255856,VDD_CPU_GPU_CV,1336.064,,
1780560479.255856,VDD_SOC,1493.248,,
1780560479.255856,,,cpu-thermal,49.812
1780560479.255856,,,gpu-thermal,50.218
1780560479.255856,,,soc0-thermal,48.25
1780560479.255856,,,soc1-thermal,47.937
1780560479.255856,,,soc2-thermal,47.781
1780560479.255856,,,tj-thermal,49.843
1780560479.3620145,VDD_IN,5313.6,,
1780560479.3620145,VDD_CPU_GPU_CV,1257.472,,
1780560479.3620145,VDD_SOC,1493.248,,
1780560479.3620145,,,cpu-thermal,49.75
1780560479.3620145,,,gpu-thermal,50.031
1780560479.3620145,,,soc0-thermal,48.281
1780560479.3620145,,,soc1-thermal,47.687
1780560479.3620145,,,soc2-thermal,47.781
1780560479.3620145,,,tj-thermal,50.031
1780560479.4680603,VDD_IN,5234.88,,
1780560479.4680603,VDD_CPU_GPU_CV,1218.176,,
1780560479.4680603,VDD_SOC,1493.248,,
1780560479.4680603,,,cpu-thermal,49.687
1780560479.4680603,,,gpu-thermal,49.937
1780560479.4680603,,,soc0-thermal,48.156
1780560479.4680603,,,soc1-thermal,47.718
1780560479.4680603,,,soc2-thermal,47.718
1780560479.4680603,,,tj-thermal,50.0
1780560479.5741613,VDD_IN,5304.96,,
1780560479.5741613,VDD_CPU_GPU_CV,1294.656,,
1780560479.5741613,VDD_SOC,1493.248,,
1780560479.5741613,,,cpu-thermal,49.593
1780560479.5741613,,,gpu-thermal,49.843
1780560479.5741613,,,soc0-thermal,48.187
1780560479.5741613,,,soc1-thermal,47.812
1780560479.5741613,,,soc2-thermal,47.812
1780560479.5741613,,,tj-thermal,49.843
1780560479.6805892,VDD_IN,5265.664,,
1780560479.6805892,VDD_CPU_GPU_CV,1257.472,,
