t,rail,mW,zone,C
1780558918.323308,VDD_IN,5418.624,,
1780558918.323308,VDD_CPU_GPU_CV,1384.32,,
1780558918.323308,VDD_SOC,1542.528,,
1780558918.323308,,,cpu-thermal,47.312
1780558918.323308,,,gpu-thermal,47.25
1780558918.323308,,,soc0-thermal,45.562
1780558918.323308,,,soc1-thermal,45.0
1780558918.323308,,,soc2-thermal,45.406
1780558918.323308,,,tj-thermal,47.312
1780558918.429313,VDD_IN,5189.696,,
1780558918.429313,VDD_CPU_GPU_CV,1226.112,,
1780558918.429313,VDD_SOC,1505.408,,
1780558918.429313,,,cpu-thermal,47.218
1780558918.429313,,,gpu-thermal,47.625
1780558918.429313,,,soc0-thermal,45.656
1780558918.429313,,,soc1-thermal,45.218
1780558918.429313,,,soc2-thermal,45.218
1780558918.429313,,,tj-thermal,47.625
1780558918.5356317,VDD_IN,5070.848,,
1780558918.5356317,VDD_CPU_GPU_CV,1147.008,,
1780558918.5356317,VDD_SOC,1505.408,,
1780558918.5356317,,,cpu-thermal,47.0
1780558918.5356317,,,gpu-thermal,47.343
1780558918.5356317,,,soc0-thermal,45.656
1780558918.5356317,,,soc1-thermal,45.031
1780558918.5356317,,,soc2-thermal,45.406
1780558918.5356317,,,tj-thermal,47.343
1780558918.6418314,VDD_IN,4991.616,,
1780558918.6418314,VDD_CPU_GPU_CV,1107.456,,
1780558918.6418314,VDD_SOC,1465.792,,
1780558918.6418314,,,cpu-thermal,47.062
1780558918.6418314,,,gpu-thermal,47.25
1780558918.6418314,,,soc0-thermal,45.5
1780558918.6418314,,,soc1-thermal,45.062
1780558918.6418314,,,soc2-thermal,45.312
1780558918.6418314,,,tj-thermal,47.25
1780558918.7481961,VDD_IN,4920.32,,
1780558918.7481961,VDD_CPU_GPU_CV,1069.632,,
1780558918.7481961,VDD_SOC,1465.792,,
1780558918.7481961,,,cpu-thermal,47.031
1780558918.7481961,,,gpu-thermal,47.281
1780558918.7481961,,,soc0-thermal,45.593
1780558918.7481961,,,soc1-thermal,45.125
1780558918.7481961,,,soc2-thermal,45.312
1780558918.7481961,,,tj-thermal,47.281
1780558918.854559,VDD_IN,4880.64,,
1780558918.854559,VDD_CPU_GPU_CV,1071.36,,
1780558918.854559,VDD_SOC,1468.16,,
1780558918.854559,,,cpu-thermal,46.906
1780558918.854559,,,gpu-thermal,47.093
1780558918.854559,,,soc0-thermal,45.656
1780558918.854559,,,soc1-thermal,45.031
1780558918.854559,,,soc2-thermal,45.343
1780558918.854559,,,tj-thermal,47.093
1780558918.9608433,VDD_IN,4848.768,,
1780558918.9608433,VDD_CPU_GPU_CV,1031.68,,
1780558918.9608433,VDD_SOC,1470.528,,
1780558918.9608433,,,cpu-thermal,47.031
1780558918.9608433,,,gpu-thermal,47.562
1780558918.9608433,,,soc0-thermal,45.437
1780558918.9608433,,,soc1-thermal,45.031
1780558918.9608433,,,soc2-thermal,45.25
1780558918.9608433,,,tj-thermal,47.562
1780558919.067205,VDD_IN,4809.024,,
1780558919.067205,VDD_CPU_GPU_CV,1033.344,,
1780558919.067205,VDD_SOC,1470.528,,
1780558919.067205,,,cpu-thermal,46.843
1780558919.067205,,,gpu-thermal,47.437
1780558919.067205,,,soc0-thermal,45.468
1780558919.067205,,,soc1-thermal,45.093
1780558919.067205,,,soc2-thermal,45.281
1780558919.067205,,,tj-thermal,47.437
1780558919.1734443,VDD_IN,4809.024,,
1780558919.1734443,VDD_CPU_GPU_CV,1033.344,,
1780558919.1734443,VDD_SOC,1470.528,,
1780558919.1734443,,,cpu-thermal,46.906
1780558919.1734443,,,gpu-thermal,47.343
1780558919.1734443,,,soc0-thermal,45.625
1780558919.1734443,,,soc1-thermal,44.968
1780558919.1734443,,,soc2-thermal,45.281
1780558919.1734443,,,tj-thermal,47.343
1780558919.279756,VDD_IN,4776.96,,
1780558919.279756,VDD_CPU_GPU_CV,993.6,,
1780558919.279756,VDD_SOC,1430.784,,
1780558919.279756,,,cpu-thermal,47.093
1780558919.279756,,,gpu-thermal,47.218
1780558919.279756,,,soc0-thermal,45.5
1780558919.279756,,,soc1-thermal,44.968
1780558919.279756,,,soc2-thermal,45.343
1780558919.279756,,,tj-thermal,47.218
1780558919.3860135,VDD_IN,4697.344,,
1780558919.3860135,VDD_CPU_GPU_CV,915.584,,
1780558919.3860135,VDD_SOC,1433.088,,
1780558919.3860135,,,cpu-thermal,47.093
1780558919.3860135,,,gpu-thermal,47.093
1780558919.3860135,,,soc0-thermal,45.531
1780558919.3860135,,,soc1-thermal,45.062
1780558919.3860135,,,soc2-thermal,45.343
1780558919.3860135,,,tj-thermal,47.093
1780558919.4916694,VDD_IN,4625.152,,
1780558919.4916694,VDD_CPU_GPU_CV,875.776,,
1780558919.4916694,VDD_SOC,1435.392,,
1780558919.4916694,,,cpu-thermal,47.187
1780558919.4916694,,,gpu-thermal,47.093
1780558919.4916694,,,soc0-thermal,45.593
1780558919.4916694,,,soc1-thermal,45.187
1780558919.4916694,,,soc2-thermal,45.25
1780558919.4916694,,,tj-thermal,47.187
1780558919.5979657,VDD_IN,4665.024,,
1780558919.5979657,VDD_CPU_GPU_CV,915.584,,
1780558919.5979657,VDD_SOC,1435.392,,
1780558919.5979657,,,cpu-thermal,46.937
1780558919.5979657,,,gpu-thermal,47.5
1780558919.5979657,,,soc0-thermal,45.468
1780558919.5979657,,,soc1-thermal,44.937
1780558919.5979657,,,soc2-thermal,45.281
1780558919.5979657,,,tj-thermal,47.5
1780558919.704373,VDD_IN,4665.024,,
1780558919.704373,VDD_CPU_GPU_CV,915.584,,
1780558919.704373,VDD_SOC,1435.392,,
1780558919.704373,,,cpu-thermal,47.031
1780558919.704373,,,gpu-thermal,47.281
1780558919.704373,,,soc0-thermal,45.468
1780558919.704373,,,soc1-thermal,44.937
1780558919.704373,,,soc2-thermal,45.375
1780558919.704373,,,tj-thermal,47.281
1780558919.8104074,VDD_IN,4704.896,,
1780558919.8104074,VDD_CPU_GPU_CV,915.584,,
1780558919.8104074,VDD_SOC,1435.392,,
1780558919.8104074,,,cpu-thermal,47.093
1780558919.8104074,,,gpu-thermal,47.218
1780558919.8104074,,,soc0-thermal,45.562
1780558919.8104074,,,soc1-thermal,45.218
1780558919.8104074,,,soc2-thermal,45.218
1780558919.8104074,,,tj-thermal,47.218
1780558919.916634,VDD_IN,4704.896,,
1780558919.916634,VDD_CPU_GPU_CV,917.056,,
1780558919.916634,VDD_SOC,1435.392,,
1780558919.916634,,,cpu-thermal,46.875
1780558919.916634,,,gpu-thermal,47.343
1780558919.916634,,,soc0-thermal,45.5
1780558919.916634,,,soc1-thermal,44.906
1780558919.916634,,,soc2-thermal,45.218
1780558919.916634,,,tj-thermal,47.156
1780558920.0227416,VDD_IN,4704.896,,
1780558920.0227416,VDD_CPU_GPU_CV,956.928,,
1780558920.0227416,VDD_SOC,1435.392,,
1780558920.0227416,,,cpu-thermal,46.875
1780558920.0227416,,,gpu-thermal,47.281
1780558920.0227416,,,soc0-thermal,45.5
1780558920.0227416,,,soc1-thermal,44.937
1780558920.0227416,,,soc2-thermal,45.312
1780558920.0227416,,,tj-thermal,47.062
1780558920.128855,VDD_IN,4712.448,,
1780558920.128855,VDD_CPU_GPU_CV,956.928,,
